kreis_destatis,hk_name,hk_id
6432,"Darmstadt-Dieburg, Landkreis",123
6433,"Groß-Gerau, Landkreis",124
6434,Hochtaunuskreis,125
6435,Main-Kinzig-Kreis,126
6436,Main-Taunus-Kreis,127
6437,Odenwaldkreis,128
6438,"Offenbach, Landkreis",129
6439,Rheingau-Taunus-Kreis,130
6440,Wetteraukreis,131
6531,"Gießen, Landkreis",132
6532,Lahn-Dill-Kreis,133
6533,"Limburg-Weilburg, Landkreis",134
6534,"Marburg-Biedenkopf, Landkreis",135
6535,Vogelsbergkreis,136
6611,Kassel,137
6631,"Fulda, Landkreis",138
6632,"Hersfeld-Rotenburg, Landkreis",139
6633,"Kassel, Landkreis",140
6634,Schwalm-Eder-Kreis,141
6635,"Waldeck-Frankenberg, Landkreis",142
6636,Werra-Meißner-Kreis,143
7111,Koblenz,144
7131,"Ahrweiler, Kreis",145
7132,"Altenkirchen (Westerwald), Kreis",146
7133,"Bad Kreuznach, Kreis",147
7134,"Birkenfeld, Kreis",148
7135,"Cochem-Zell, Kreis",149
7137,"Mayen-Koblenz, Kreis",150
7138,"Neuwied, Kreis",151
7140,Rhein-Hunsrück-Kreis,152
7141,Rhein-Lahn-Kreis,153
7143,Westerwaldkreis,154
7211,Trier,155
7231,"Bernkastel-Wittlich, Landkreis",156
7232,Eifelkreis Bitburg-Prüm,157
7233,"Vulkaneifel, Landkreis",158
7235,"Trier-Saarburg, Landkreis",159
7311,Frankenthal (Pfalz),160
7312,Kaiserslautern,161
7313,Landau in der Pfalz,162
7314,Ludwigshafen,163
7315,Mainz,164
7316,Neustadt an der Weinstraße,165
7317,Pirmasens,166
7318,Speyer,167
7319,Worms,168
7320,Zweibrücken,169
7331,"Alzey-Worms, Landkreis",170
7332,"Bad Dürkheim, Landkreis",171
7333,Donnersbergkreis,172
7334,"Germersheim, Landkreis",173
7335,"Kaiserslautern, Landkreis",174
7336,"Kusel, Landkreis",175
7337,"Südliche Weinstraße, Landkreis",176
7338,Rhein-Pfalz-Kreis,177
7339,"Mainz-Bingen, Landkreis",178
7340,"Südwestpfalz, Landkreis",179
8111,Stuttgart,180
8115,"Böblingen, Landkreis",181
8116,"Esslingen, Landkreis",182
8117,"Göppingen, Landkreis",183
8118,"Ludwigsburg, Landkreis",184
8119,Rems-Murr-Kreis,185
8121,Heilbronn,186
8125,"Heilbronn, Landkreis",187
8126,Hohenlohekreis,188
8127,"Schwäbisch Hall, Landkreis",189
8128,Main-Tauber-Kreis,190
8135,"Heidenheim, Landkreis",191
8136,Ostalbkreis,192
8211,Baden-Baden,193
8212,Karlsruhe,194
8215,"Karlsruhe, Landkreis",195
8216,"Rastatt, Landkreis",196
8221,Heidelberg,197
8222,Mannheim,198
8225,Neckar-Odenwald-Kreis,199
8226,Rhein-Neckar-Kreis,200
8231,Pforzheim,201
8235,"Calw, Landkreis",202
8236,Enzkreis,203
8237,"Freudenstadt, Landkreis",204
8311,Freiburg Breisgau,205
8315,"Breisgau-Hochschwarzwald, Landkreis",206
8316,"Emmendingen, Landkreis",207
8317,Ortenaukreis,208
8325,"Rottweil, Landkreis",209
8326,Schwarzwald-Baar-Kreis,210
8327,"Tuttlingen, Landkreis",211
8335,"Konstanz, Landkreis",212
8336,"Lörrach, Landkreis",213
8337,"Waldshut, Landkreis",214
8415,"Reutlingen, Landkreis",215
8416,"Tübingen, Landkreis",216
8417,Zollernalbkreis,217
8421,Ulm,218
8425,Alb-Donau-Kreis,219
8426,"Biberach, Landkreis",220
8435,Bodenseekreis,221
8436,"Ravensburg, Landkreis",222
8437,"Sigmaringen, Landkreis",223
9161,Ingolstadt,224
9162,München,225
9163,Rosenheim,226
9171,"Altötting, Landkreis",227
9172,"Berchtesgadener Land, Landkreis",228
9173,"Bad Tölz-Wolfratshausen, Landkreis",229
9174,"Dachau, Landkreis",230
9175,"Ebersberg, Landkreis",231
9176,"Eichstätt, Landkreis",232
9177,"Erding, Landkreis",233
9178,"Freising, Landkreis",234
9179,"Fürstenfeldbruck, Landkreis",235
9180,"Garmisch-Partenkirchen, Landkreis",236
9181,"Landsberg a.Lech, Landkreis",237
9182,"Miesbach, Landkreis",238
9183,"Mühldorf a.Inn, Landkreis",239
9184,"München, Landkreis",240
9185,"Neuburg-Schrobenhausen, Landkreis",241
9186,"Pfaffenhofen a.d.Ilm, Landkreis",242
9187,"Rosenheim, Landkreis",243
9188,"Starnberg, Landkreis",244
9189,"Traunstein, Landkreis",245
9190,"Weilheim-Schongau, Landkreis",246
9261,Landshut,247
9262,Passau,248
9263,Straubing,249
9271,"Deggendorf, Landkreis",250
